,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
90,TH,6.5700001717,6.5999999046,6.7399997711,6.4400000572,216800,1.2556625894,1.2156197414,0.98
91,VAL,55.5299987793,56.0400009155,58.1899986267,54.5099983215,1128500,1.2516409439,1.2522745313,0.98
92,VRTV,145.8999938965,143.2400054932,147.7299957275,142.9700012207,80400,1.2764959364,1.2771421054,0.98
93,COP,117.0000000000,116.8300018311,119.6399993896,115.3000030518,7298800,1.2355885887,1.2362140502,0.98
94,CIVI,80.3600006104,80.6600036621,81.6900024414,78.1100006104,783800,1.2710098652,1.2716532572,0.98
95,WFRD,35.2299995422,34.2299995422,35.2299995422,33.3199996948,473000,1.2649316519,1.2245932153,0.98
96,VNOM,34.1800003052,34.3100013733,34.9249992371,33.4199981689,319600,1.2684012576,1.2279521758,0.98
97,TALO,23.6499996185,23.6900005341,24.5400009155,23.0300006866,1322000,1.2411419169,1.2417701896,0.98
98,DK,33.5999984741,33.3899993896,34.0299987793,32.8800010681,1906600,1.2437211142,1.2443506924,0.98
99,PDCE,85.1299972534,84.1299972534,85.7300033569,82.2600021362,1391300,1.2556286286,1.2155868637,0.98
100,PME,1.0000000000,1.0599999428,1.1200000048,1.0000000000,285000,1.3051972584,1.2635747590,0.98
101,PNRG,97.6500015259,97.5000000000,100.2399978638,95.9199981689,7900,1.2678031086,1.2273731017,0.98
102,EOG,141.8000030518,144.0000000000,145.8000030518,140.7899932861,5527700,1.2245949587,1.2252148552,0.98
103,FANG,155.2100067139,155.4900054932,158.0399932861,152.8899993896,2074600,1.2284521491,1.2284521491,0.98
104,RELL,14.7500000000,14.7500000000,14.9700002670,14.5500001907,53500,1.2661230420,1.2257466121,0.98
105,RTLR,17.5200004578,17.4500007629,17.7600002289,17.1900005341,350800,1.2582490293,1.2181237003,0.98
106,PTEN,18.2399997711,18.1900005341,18.8099994659,17.6100006104,3480300,1.2937883817,1.2525297093,0.98
107,HCC,36.0000000000,36.3199996948,36.8549995422,35.4099998474,851200,1.2187217030,1.2193386264,0.98
108,ROCC,49.7400016785,49.6800003052,51.0400009155,47.5999984741,817000,1.3128177596,1.2709522438,0.98
109,OXY,64.8199996948,63.8699989319,66.1200027466,62.9000015259,27407900,1.2711377779,1.2717812346,0.98
110,OAS,173.0500030518,176.3399963379,178.5700073242,171.5700073242,205200,1.2965524437,1.2552056258,0.98
111,CLR,70.5599975586,70.4899978638,71.9100036621,69.2300033569,1508100,1.2324475259,1.2330713974,0.98
112,LPG,16.4699993134,16.8600006104,17.0000000000,16.3199996948,631600,1.2205940668,1.2212119380,0.98
113,CHK,96.7300033569,98.1699981689,98.7300033569,95.0260009766,1416300,1.2678881277,1.2274554096,0.98
114,MN,12.5000000000,12.5200004578,12.5500001907,12.5000000000,73100,1.2641620345,1.2648019601,0.98
115,MNRL,32.0699996948,32.1599998474,32.8199996948,31.4699993134,842200,1.2128207302,1.2134346665,0.98
116,APA,49.1399993896,48.8100013733,49.8199996948,47.7200012207,6434300,1.3117222407,1.2698916608,0.98
117,JMSB,27.3299999237,27.9300003052,28.2250003815,27.3299999237,73500,1.2243626461,1.1853179476,0.97
118,FTXN,30.4899997711,30.2099990845,30.8600006104,29.7900009155,193300,1.2234253133,1.1844105061,0.97
119,STON,3.4300000668,3.4400000572,3.4800000191,3.4300000668,299300,1.1878046668,1.1884059399,0.97
120,PXD,274.8599853516,270.8699951172,278.3999938965,266.7999877930,2872000,1.1981505015,1.1981505015,0.97
121,WEYS,28.3299999237,30.1100006104,30.3600006104,28.3299999237,47800,1.2185168770,1.1796585989,0.97
122,KRP,19.2800006866,19.3700008392,19.5699996948,18.8299999237,253700,1.2001689501,1.2007764820,0.97
123,TECK,42.8199996948,42.2799987793,43.2500000000,41.6399993896,5019600,1.1724837118,1.1730772293,0.97
124,UFPT,75.0699996948,81.3399963379,81.7699966431,75.0000000000,41200,1.2158609248,1.1770873446,0.97
125,BIS,30.8799991608,31.4099998474,31.7900009155,30.8799991608,70500,1.2195406976,1.1806497701,0.97
126,DDS,310.2000122070,302.5899963379,310.2000122070,297.9800109863,170000,1.2061217279,1.2067322732,0.97
127,SWCH,33.5499992371,33.5400009155,33.6399993896,33.5299987793,3096700,1.1909228240,1.1915256755,0.97
128,EPSN,7.0000000000,6.9899997711,7.0300002098,6.9499998093,216200,1.2247029036,1.1856473543,0.97
129,ENLC,11.0299997330,10.7500000000,11.1499996185,10.5799999237,2422900,1.2043450601,1.2049547060,0.97
130,CNQ,65.7600021362,64.8499984741,66.0800018311,64.0699996948,2570600,1.1920203784,1.1926237855,0.97
131,NBR,176.4199981689,173.9499969482,182.4700012207,165.3500061035,210700,1.1868431364,1.1874439227,0.97
132,PXI,50.3199996948,50.1699981689,51.1699981689,49.1599998474,101600,1.2377519872,1.1982803050,0.97
133,CNX,22.9599990845,23.2399997711,23.3899993896,22.6700000763,2056600,1.2073892365,1.2080004233,0.97
134,MSP,35.0099983215,34.9599990845,35.0699996948,34.8600006104,910200,1.2077487661,1.2083601350,0.97
135,COMT,45.7200012207,45.6399993896,45.7910003662,45.1199989319,625900,1.2100604635,1.1714718589,0.97
136,AZPN,194.1499938965,196.0000000000,197.1300048828,192.0899963379,112500,1.2410234221,1.2014474145,0.97
137,PBR,13.0600004196,13.2100000381,13.2899999619,12.9099998474,34411300,1.1661974492,1.1667877845,0.97
138,NDP,33.7299995422,33.6800003052,33.9000015259,32.8400001526,15400,1.1947076287,1.1953123960,0.97
139,XOM,101.9400024414,100.4599990845,103.3499984741,99.7900009155,30950500,1.2018060138,1.2024143744,0.97
140,FGBI,26.6599998474,26.5200004578,26.7099990845,26.2099990845,35000,1.2174347197,1.1786109514,0.97
141,SWX,90.1500015259,91.8899993896,92.5100021362,90.0000000000,216000,1.1703703511,1.1709627988,0.97
142,NL,9.1000003815,9.0100002289,9.1000003815,8.8299999237,24100,1.1672869698,1.1678778567,0.97
143,PCOM,24.4599990845,24.5900001526,24.7900009155,24.4400005341,232600,1.2397398232,1.2002047493,0.97
144,SIMO,91.5500030518,91.0400009155,92.1399993896,90.8600006104,229300,1.2215324183,1.1825779752,0.97
145,CVEO,30.5000000000,29.2600002289,30.5000000000,29.1900005341,48200,1.1977631100,1.1983694241,0.97
146,CC,41.0400009155,40.7099990845,41.5900001526,40.1699981689,1338000,1.2113407969,1.2119539841,0.97
147,CVX,176.3699951172,175.3999938965,178.5700073242,173.6499938965,9529700,1.1705444682,1.1711370041,0.97
148,CYTK,39.1199989319,39.5000000000,40.3199996948,37.9000015259,689500,1.2135077679,1.1748092294,0.97
149,PDBC,20.5599994659,20.4799995422,20.5900001526,20.2900009155,7015200,1.2122660999,1.1736071580,0.97
