,symbol,close,relative_strength_sp500,rank
0,ZIVO,3.2799999714,5.8742120434,1.00
1,LWLG,8.0100002289,1.9504687659,1.00
2,PVL,4.8000001907,1.5020209836,1.00
3,TRVI,2.4200000763,1.9495017048,1.00
4,HPKEW,20.3799991608,1.8883955444,1.00
5,RCMT,21.9799995422,2.0294515028,1.00
6,HUDI,25.5900001526,2.0053563972,1.00
7,VERU,12.9399995804,1.4782901269,1.00
8,HDSN,10.0000000000,1.7828138700,1.00
9,AR,42.8800010681,1.5127618124,1.00
10,RDBX,6.7199997902,1.9282263947,1.00
11,CEIX,51.5600013733,1.5029983598,1.00
12,VTNR,13.9899997711,2.1499442501,1.00
13,NEXT,7.1599998474,1.6180763390,1.00
14,CTIC,5.4299998283,1.7336783980,1.00
15,LGVN,8.1700000763,2.9860675275,1.00
16,DWACU,49.9900016785,2.1044281913,1.00
17,SANG,9.3100004196,2.0204302252,1.00
18,BTU,23.6100006104,1.5564638027,1.00
19,BTCS,2.5599999428,2.9203286511,1.00
20,HYMC,1.3200000525,1.9896930584,1.00
21,SD,23.5699996948,1.5782330528,1.00
22,CRZN,9.7600002289,1.4905867647,1.00
23,UONE,12.9200000763,1.5258207328,1.00
24,BPT,19.8899993896,1.8266846116,1.00
25,BORR,5.5700001717,1.7326943956,1.00
26,CRK,19.2999992371,1.6593838226,1.00
27,DWAC,43.7099990845,1.7498202644,1.00
28,NINE,3.1300001144,1.6082374556,1.00
29,SJT,12.8900003433,1.5112964372,1.00
30,METX,1.5199999809,3.4344880983,1.00
31,LIDRW,1.2500000000,1.6315611868,1.00
32,PECO,33.7400016785,1.7671822155,1.00
33,AMR,161.7400054932,1.8260314541,1.00
34,HYMCL,0.3400000036,2.5781690505,1.00
35,AEHR,8.3800001144,1.5887985512,1.00
36,FICV,9.7399997711,1966.8022262779,1.00
37,IVT,29.6399993896,4.2154971158,1.00
38,NTRBW,5.9899997711,1.4940517304,1.00
39,SXTC,2.0999999046,4.2794075253,1.00
40,ATIF,2.3399999142,2.0868372557,1.00
41,MTR,19.5799999237,1.7303956492,1.00
42,CPSS,13.5399999619,1.2975536997,0.99
43,PBF,33.2000007629,1.4708296228,0.99
44,PBT,17.5900001526,1.4446148260,0.99
45,PDS,77.7200012207,1.3077884615,0.99
46,CNCE,6.3600001335,1.4218037249,0.99
47,CIVI,76.3499984741,1.2927076558,0.99
48,CISO,5.8400001526,1.4294054979,0.99
49,PTEN,19.0400009155,1.3194889234,0.99
50,CHKEZ,73.6299972534,1.3964452433,0.99
51,CHKEW,78.2799987793,1.3902256460,0.99
52,CHKEL,69.9700012207,1.4421253412,0.99
53,IMTE,8.6599998474,1.3082932284,0.99
54,VHI,46.3800010681,1.3670955300,0.99
55,VET,21.6399993896,1.3444548434,0.99
56,VAL,59.4500007629,1.3532500955,0.99
57,RENN,28.4099998474,1.3677271554,0.99
58,RIBT,0.7500000000,1.3231685193,0.99
59,RRC,33.9500007629,1.3359792345,0.99
60,CARV,11.7600002289,1.3598441932,0.99
61,CAR,190.2799987793,1.4565329561,0.99
62,SBOW,38.6199989319,1.3426838925,0.99
63,UONEK,6.5500001907,1.3178411315,0.99
64,SGML,16.6599998474,1.4393636584,0.99
65,IONM,1.7500000000,1.4043828637,0.99
66,SIGA,10.9399995804,1.3908612132,0.99
67,SM,48.2700004578,1.3508259533,0.99
68,SMHI,8.8999996185,1.3971434338,0.99
69,BIOR,0.8399999738,1.3310612605,0.99
70,BENEW,0.3449999988,1.4353539430,0.99
71,SQM,103.2327804565,1.3717789223,0.99
72,SRRA,54.7799987793,1.4403231606,0.99
73,STNG,33.0499992371,1.3552069155,0.99
74,SWN,9.1199998856,1.3477414679,0.99
75,ISPO,6.0799999237,1.4161251505,0.99
76,TGA,4.7199997902,1.3135409446,0.99
77,TDW,25.4500007629,1.3354946838,0.99
78,TH,6.3499999046,1.4371609156,0.99
79,ARLP,19.8500003815,1.4331096609,0.99
80,ARL,20.9699993134,1.2985187007,0.99
81,ARCH,152.8399963379,1.3396846133,0.99
82,TROO,2.8099999428,1.3598312699,0.99
83,TWI,18.2099990845,1.3267776097,0.99
84,APA,47.0099983215,1.2935134040,0.99
85,AMPY,8.8900003433,1.4314543114,0.99
86,KOS,7.7399997711,1.3879179796,0.99
87,HPK,31.8700008392,1.4424848105,0.99
