,symbol,close,volume,relative_strength_sp500,rank
0,VTNR,13.9700002670,4843100,2.1183912862,1.00
1,HPKEW,23.3700008392,25000,2.0222125889,1.00
2,NEXT,7.5700001717,1035100,1.6667354557,1.00
3,IVT,31.2299995422,987000,4.2498142508,1.00
4,PVL,5.0000000000,367100,1.5339182543,1.00
5,AMR,169.5099945068,611100,1.8580101657,1.00
6,RCMT,22.6700000763,122500,2.0609202913,1.00
7,CRK,20.4099998474,3706400,1.6625531830,1.00
8,BPT,20.6900005341,614500,1.8822326479,1.00
9,BORR,6.4800000191,3064200,1.8894918128,1.00
10,PBF,34.4199981689,4012500,1.5053420204,1.00
11,SD,25.0200004578,1205300,1.5836025648,1.00
12,CEIX,53.8499984741,722600,1.5061246065,1.00
13,AR,44.4900016785,5892400,1.5131831863,1.00
14,HDSN,9.3599996567,2014400,1.6390582894,1.00
15,SJT,13.2700004578,1104800,1.5006541971,1.00
16,MTR,21.1900005341,64900,1.7771255824,1.00
17,BTU,25.2000007629,5680800,1.5604206299,1.00
18,SRRA,54.7799987793,276100,1.4405374976,0.99
19,SQM,97.9530029297,5441000,1.3515822010,0.99
20,SMHI,8.8999996185,62400,1.3721676563,0.99
21,SM,49.1399993896,2332800,1.3157698504,0.99
22,TDW,27.0100002289,362400,1.3945874063,0.99
23,EGY,8.1499996185,2327000,1.3911475720,0.99
24,EQT,49.7999992371,9976500,1.4771080372,0.99
25,VLO,132.5500030518,3974000,1.2979465769,0.99
26,VHI,48.1199989319,70300,1.4155649544,0.99
27,VET,22.6800003052,2730600,1.3724294218,0.99
28,AMPY,9.3500003815,970100,1.4822458121,0.99
29,VAL,61.8199996948,1199500,1.3642029538,0.99
30,ARCH,156.0899963379,645700,1.3455185195,0.99
31,TWI,17.9899997711,575200,1.3286698722,0.99
32,ARLP,20.4300003052,511200,1.4257084577,0.99
33,TTI,5.4699997902,2006200,1.3001538870,0.99
34,TRMD,14.4499998093,712700,1.3388762467,0.99
35,ASC,7.5399999619,1783500,1.3142623303,0.99
36,TH,6.7399997711,317700,1.4863692413,0.99
37,TGA,4.8099999428,716200,1.3223974749,0.99
38,SWN,9.6400003433,41793900,1.3701676384,0.99
39,STNG,34.8199996948,2742200,1.3844884531,0.99
40,SIGA,12.1899995804,33902200,1.4796625428,0.99
41,SBOW,41.3300018311,321400,1.3638672058,0.99
42,RRC,35.2400016785,6222900,1.3429547551,0.99
43,RENN,28.1100006104,50400,1.3687471353,0.99
44,PTEN,18.8899993896,3742200,1.3230961242,0.99
45,PDS,83.4599990845,121500,1.3499282626,0.99
46,PBT,18.6000003815,328200,1.4775333080,0.99
47,OXY,70.4199981689,28856900,1.3739015614,0.99
48,NRT,18.4300003052,50700,1.3568355238,0.99
49,CHKEL,72.5400009155,11600,1.4338654978,0.99
50,CHKEW,81.3700027466,3500,1.3775324384,0.99
51,CHKEZ,76.5599975586,77400,1.4025391607,0.99
52,NRP,47.2500000000,25300,1.3221000920,0.99
53,NEX,11.2600002289,2532400,1.3993219366,0.99
54,NC,58.0999984741,64300,1.4348383991,0.99
