,symbol,close,volume,relative_strength_sp500,rank
115,HHS,10.3500003815,19843,1.2052267900,0.97
116,TMST,25.4899997711,354482,1.2183830420,0.97
117,EOG,146.1900024414,431107,1.2010822219,0.97
118,STON,3.4400000572,21781,1.1978899992,0.97
119,SU,42.6399993896,2407076,1.2180285172,0.97
120,PDCE,85.2399978638,412881,1.2027337664,0.97
121,TECK,45.3149986267,1575931,1.1873233339,0.97
122,PXI,52.5952987671,13877,1.1948784647,0.97
123,MNRL,33.5600013733,152610,1.1930335398,0.97
124,XOM,105.0950012207,11709713,1.1840408499,0.97
125,CYTK,42.4599990845,136954,1.2092155085,0.97
126,ENLC,11.5900001526,425422,1.2181358205,0.97
127,SOI,14.4750003815,77874,1.1877496562,0.97
128,HRB,36.0400009155,332495,1.2055078208,0.97
129,RELL,15.0900001526,65372,1.2035297047,0.97
130,RTLR,18.0900001526,105655,1.2141385324,0.97
131,NBR,188.5800933838,33569,1.2083940234,0.97
132,LPG,17.7600002289,205976,1.2169987119,0.97
133,MVO,12.5699996948,66858,1.2058186168,0.97
134,MUR,45.5999984741,350107,1.2049387100,0.97
135,MSP,35.1399993896,47997,1.1833165467,0.97
136,VNOM,35.4581985474,201059,1.2143955944,0.97
137,CNX,24.0699996948,541999,1.1971484920,0.97
138,ZIM,61.0000000000,8851705,1.1977722983,0.97
139,CNQ,68.6200027466,518731,1.1887137394,0.97
140,FANG,160.6999969482,413231,1.2024002817,0.97
141,TRGP,79.4199981689,455938,1.1884108401,0.97
142,PXD,286.7449951172,585355,1.1915385566,0.97
143,GNK,24.5076007843,939238,1.1830889254,0.97
144,WLL,101.2949981689,300968,1.2132703285,0.97
145,MMLP,4.8387999535,33392,1.1814645615,0.97
146,CVEO,31.5200004578,14502,1.2162375223,0.97
147,MNTK,15.0399999619,171087,1.2017062207,0.97
148,CXW,12.9700002670,138592,1.2086836491,0.97
149,NFE,51.1599998474,377606,1.2152096861,0.97
150,TCDA,9.5600004196,137390,1.2057787863,0.97
151,GPOR,107.3099975586,19347,1.1979271423,0.97
152,AZPN,208.5899963379,12836,1.1984312245,0.97
153,HAL,43.4399986267,4193284,1.1930599172,0.97
154,AVD,24.9650001526,21087,1.1937028030,0.97
155,DLNG,4.3039999008,42475,1.2023780068,0.97
156,KRO,19.7299003601,55356,1.1560770624,0.96
157,SWCH,33.5900001526,486217,1.1741631224,0.96
158,TS,34.3349990845,695484,1.1467925093,0.96
159,CVX,181.8226928711,2119718,1.1540170321,0.96
160,SOGU,47.6057014465,3792,1.1698147126,0.96
161,SMCI,54.8101005554,140437,1.1670576655,0.96
162,LLY,313.3900146484,573317,1.1450387777,0.96
163,SIMO,92.6100006104,50914,1.1559290970,0.96
164,WEYS,29.3700008392,26778,1.1524252389,0.96
165,PSCE,12.3980998993,247573,1.1666814423,0.96
166,PNRG,93.5000000000,3597,1.1766504336,0.96
167,PRT,10.6400003433,52846,1.1556435235,0.96
168,PCOM,24.5000000000,59989,1.1700700802,0.96
169,OPCH,29.6299991608,153240,1.1521919848,0.96
170,MIRM,24.8199996948,28634,1.1462773378,0.96
171,LPLA,203.5800018311,140869,1.1668052496,0.96
172,JMSB,27.9449996948,32431,1.1562155852,0.96
173,DKL,54.2000007629,6921,1.1477048250,0.96
174,GOGO,20.8600006104,358154,1.1513752855,0.96
175,FTXN,31.7600002289,73031,1.1790453733,0.96
176,FGBI,26.9500007629,5168,1.1480095372,0.96
177,EQNR,37.7299995422,857895,1.1480644529,0.96
178,HES,130.1999969482,485536,1.1754725890,0.96
179,EOLS,12.6400003433,81401,1.1763276998,0.96
180,EGLE,67.9700012207,603528,1.1574342333,0.96
181,INSW,24.4472999573,101412,1.1464455846,0.96
182,JKS,66.5800018311,423667,1.1649543267,0.96
183,CYBE,43.7700004578,5507,1.1510638150,0.96
184,KRP,19.6499996185,37378,1.1633876785,0.96
185,LTHM,30.2600002289,1062920,1.1788169033,0.96
186,NDP,34.6790008545,1209,1.1754969213,0.96
187,NE,37.4000015259,210954,1.1491808696,0.96
188,NL,9.5000000000,4135,1.1635470535,0.96
189,SWIR,23.3299999237,1053987,1.1457500261,0.96
190,OLN,65.4400024414,258848,1.1736053181,0.96
191,STR,29.5900001526,119538,1.1732473642,0.96
192,PBR,13.9399995804,6326251,1.1682754808,0.96
193,SAIL,63.0800018311,246141,1.1803501044,0.96
194,SSL,27.9599990845,132200,1.1525544640,0.96
195,BRY,11.3800001144,831762,1.1434413878,0.95
196,PAC,148.5850067139,15286,1.1420162021,0.95
197,CSL,268.8399963379,18707,1.1291945269,0.95
198,RFP,16.7782001495,345768,1.1358155048,0.95
199,CRC,49.1599998474,144378,1.1347715274,0.95
200,PAG,121.7998962402,57755,1.1347318722,0.95
201,BKR,38.2400016785,1031461,1.1248484832,0.95
202,CYXT,14.6499996185,58876,1.1426202642,0.95
203,BANF,94.7350006104,11910,1.1323124310,0.95
204,SWX,92.1650009155,63043,1.1367698208,0.95
205,KDNY,18.0699996948,446848,1.1355686813,0.95
206,UNM,37.0600013733,378445,1.1429716601,0.95
207,TCI,44.9300003052,477,1.1242996452,0.95
208,DLTR,161.7899932861,224210,1.1370401047,0.95
209,MGPI,98.4700012207,226058,1.1264123712,0.95
210,SHEL,61.3100013733,2598374,1.1283885603,0.95
211,WES,29.2399997711,269035,1.1288603259,0.95
212,VST,27.1100006104,1588272,1.1450068520,0.95
213,BGR,13.6199998856,30357,1.1277765891,0.95
214,EXLS,150.9499969482,24125,1.1447684635,0.95
215,PEO,24.5351009369,21267,1.1371870072,0.95
216,EMO,31.3600006104,7667,1.1266748786,0.95
217,SMM,8.9250001907,53754,1.1316900812,0.95
218,PDBC,20.6749992371,1635317,1.1311419343,0.95
219,EPSN,7.0500998497,226979,1.1446299517,0.95
220,CDEV,9.3699998856,3112982,1.1326046809,0.95
221,PSX,110.6200027466,811986,1.1367997395,0.95
222,LRN,40.1349983215,430467,1.1345013198,0.95
223,LBRT,18.8750000000,278644,1.1336555620,0.95
224,AMAL,21.3799991608,7239,1.1284478611,0.95
225,ALCO,42.0699996948,6492,1.1270645669,0.95
226,CHEF,36.3899993896,38947,1.1147707228,0.94
227,WRB,71.5899963379,163293,1.1199175349,0.94
228,NVGS,14.2299995422,89735,1.1226988755,0.94
229,NVO,116.5161972046,487996,1.1199992031,0.94
230,DXR,13.0399999619,6,1.1173362381,0.94
231,BKEP,4.5619997978,24270,1.1167763381,0.94
232,BELFA,21.8199996948,3,1.1150626262,0.94
233,TTP,31.5000000000,2421,1.1124014188,0.94
234,TPL,1740.0000000000,7898,1.1203863514,0.94
235,ESQ,36.8800010681,6254,1.1153342054,0.94
236,EXTN,6.4099998474,46686,1.1200409197,0.94
237,USOI,5.8594999313,1316386,1.1202253940,0.94
238,PBA,42.7099990845,286355,1.1201826753,0.94
239,VIVO,28.3999996185,282612,1.1197925778,0.94
240,EXC,48.9949989319,1177427,1.1214592308,0.94
241,ELP,7.1649999619,80763,1.1171608993,0.94
242,DCP,38.5186996460,54172,1.1210816206,0.94
243,CTVA,62.0149993896,578959,1.1180992034,0.94
244,CTR,32.8149986267,3979,1.1164786729,0.94
245,ITCI,58.0349998474,105470,1.1194396188,0.94
246,AZO,2092.2700195313,11037,1.1163429600,0.94
247,XENE,30.5100002289,124493,1.1126911447,0.94
248,WMB,37.7799987793,2921483,1.1178930487,0.94
249,CEM,37.4700012207,7202,1.1137274961,0.94
250,SCI,71.0296020508,208752,1.1129170377,0.94
251,MAYS,42.8800010681,100,1.1229925253,0.94
252,NSEC,16.2399997711,120,1.1181355719,0.94
253,BCC,81.9700012207,71847,1.1155453110,0.94
254,OFS,12.7550001144,27637,1.1140961779,0.94
255,NFG,75.8949966431,81464,1.1160711078,0.94
256,COMT,45.7951011658,181604,1.1235644626,0.94
257,SYNL,17.3500003815,7454,1.1234193406,0.94
258,ASR,213.1999969482,19948,1.0975122009,0.93
259,FLR,29.4699993134,355338,1.1115772470,0.93
260,PWR,131.1049957275,249722,1.1002598906,0.93
261,SLB,49.1542015076,2698228,1.1114386529,0.93
262,ACC,64.7600021362,515192,1.1084794298,0.93
263,ASH,110.0600967407,53213,1.1040757121,0.93
264,CEN,18.4200000763,419,1.0972986466,0.93
265,CIB,42.2700004578,38678,1.0981279166,0.93
266,CPE,63.1899986267,561614,1.0969997938,0.93
267,ET,12.2899999619,5815798,1.0996261937,0.93
268,EURN,13.1199998856,429481,1.1024988406,0.93
269,GPK,22.4500007629,605506,1.0982514717,0.93
270,HESM,34.6399993896,85520,1.1000831211,0.93
271,IIIN,43.7599983215,14872,1.1019500429,0.93
272,KNSL,233.5000000000,13927,1.1086600572,0.93
273,LFG,21.4200000763,231952,1.1113211069,0.93
274,NOV,21.7299995422,620764,1.0983155569,0.93
275,NRGX,16.0785007477,25864,1.1005672836,0.93
276,NTG,39.8800010681,8636,1.1073993268,0.93
277,OIS,8.8299999237,276587,1.0984820239,0.93
278,PBFX,17.1700000763,22061,1.1051152371,0.93
279,TTE,60.8284988403,798924,1.1116686490,0.93
280,USAC,19.7350006104,70622,1.1051759005,0.93
281,WLK,134.5599975586,110399,1.1092574349,0.93
282,CPLP,16.9899997711,121832,1.1039159196,0.93
283,ISSC,8.4099998474,5497,1.0990345267,0.93
284,LAUR,12.6949996948,191956,1.1024025935,0.93
285,MEOH,54.3100013733,176711,1.1026993111,0.93
286,NTUS,32.7700004578,47525,1.1068669586,0.93
287,OMAB,58.4099998474,6561,1.0992027052,0.93
288,RGP,19.3050003052,37502,1.1085459923,0.93
289,UFPT,77.3300018311,4153,1.1060028696,0.93
290,FCN,171.5549926758,18697,1.0858886978,0.92
291,GPRK,17.9500007629,16469,1.0950093241,0.92
292,HT,11.7899999619,36003,1.0922228568,0.92
293,KMF,8.9097995758,26082,1.0931791778,0.92
294,NGS,14.6036996841,19943,1.0956865990,0.92
295,NR,4.6500000954,194430,1.0883623091,0.92
296,AIR,51.7000007629,43061,1.0964324240,0.92
297,WHD,56.0900001526,53381,1.0918214574,0.92
298,PLUS,58.4399986267,24603,1.0857259755,0.92
299,SFL,11.1999998093,451969,1.0937734096,0.92
300,ATI,27.3883991241,184581,1.0935129730,0.92
301,BP,33.8699989319,2433476,1.0859218045,0.92
302,MERC,16.1700000763,82920,1.0960809997,0.92
303,WTTR,9.3699998856,105814,1.0946068221,0.92
304,TGS,6.8907999992,25542,1.0877729091,0.92
305,SPH,17.5599994659,40767,1.0959372100,0.92
306,PFIE,1.5499999523,114897,1.0866942280,0.92
307,ADMA,2.0550000668,529527,1.0959992167,0.92
308,PUMP,14.1800003052,322431,1.0936515175,0.92
309,VRTX,276.2500000000,910945,1.0921777297,0.92
310,CNR,24.4500007629,108395,1.0910493949,0.92
311,TYG,35.5000000000,77285,1.0917966780,0.92
312,ULTA,424.0000000000,341358,1.0913949486,0.92
313,IMXI,20.4200000763,57372,1.0866923083,0.92
314,HST,21.0300006866,1425424,1.0871434489,0.92
315,EC,17.3449993134,275580,1.0968637831,0.92
316,AVT,48.7649993896,104957,1.0884133839,0.92
317,GO,37.8250007629,122532,1.0877342214,0.92
318,AFG,142.4700012207,39274,1.0936469961,0.92
319,BCBP,18.9400005341,8021,1.0867056653,0.92
320,NOC,482.5249938965,220601,1.0820397974,0.91
321,WWE,66.9499969482,141090,1.0790823079,0.91
322,RHP,95.1800003052,42836,1.0816665999,0.91
323,POST,82.2799987793,43608,1.0822111551,0.91
324,PGR,120.3050003052,555338,1.0780994363,0.91
325,OKE,69.5100021362,440211,1.0805347522,0.91
326,MTOR,36.1349983215,310034,1.0785914767,0.91
327,KYN,9.7599000931,291185,1.0836273361,0.91
328,HGLB,10.6201000214,17751,1.0779512337,0.91
329,EPD,28.4799995422,921598,1.0830432542,0.91
330,ENB,47.5719985962,636115,1.0812195126,0.91
331,ED,98.0299987793,158687,1.0823148748,0.91
332,EBR,8.6099996567,1167053,1.0848012768,0.91
333,HRMY,46.1100006104,89832,1.0822375802,0.91
334,CNP,31.7999992371,480972,1.0776647859,0.91
335,CMC,41.9300003052,247856,1.0815575481,0.91
336,CCJ,27.6900005341,4336307,1.0800406179,0.91
337,CBT,77.5500030518,67208,1.0804877994,0.91
338,BTI,44.7400016785,990896,1.0800066936,0.91
339,NBN,39.0149993896,9942,1.0783030910,0.91
340,NTCT,35.6399993896,65568,1.0787408108,0.91
341,PSB,186.6399993896,80387,1.0844882939,0.91
342,MAR,174.7899932861,265344,1.0782938357,0.91
343,SENEB,59.1500015259,728,1.0831065041,0.91
344,SNEX,80.6600036621,31119,1.0793651746,0.91
345,HPQ,38.5149993896,3059105,1.0809385082,0.91
346,BMY,76.6800003052,1328528,1.0778149194,0.91
347,GER,13.6099996567,7314,1.0790656246,0.91
348,CAPL,22.3099994659,6484,1.0750277018,0.90
349,FTGC,30.2600002289,471121,1.0740973707,0.90
350,GLP,28.7749996185,11555,1.0726272799,0.90
351,EIX,70.0800018311,240654,1.0745830255,0.90
352,SJI,34.5600013733,345903,1.0744787025,0.90
353,PAM,23.2600994110,41782,1.0741664105,0.90
354,AGO,60.3800010681,43062,1.0693802921,0.90
355,AM,11.3750000000,510391,1.0765040595,0.90
356,MPLX,34.2678985596,353607,1.0710721300,0.90
357,PTR,55.7999992371,59271,1.0739011108,0.90
358,GEL,12.5450000763,25501,1.0705740561,0.90
359,ZEUS,35.5239982605,27856,1.0754850981,0.90
360,EQS,2.6099998951,215,1.0770755168,0.90
361,NVEE,125.4400024414,17477,1.0758707639,0.90
362,BIS,28.0200004578,389,1.0757656738,0.90
363,SENEA,57.7599983215,2361,1.0694929195,0.90
364,PFIS,52.6110992432,906,1.0695488845,0.90
365,OVBC,30.4500007629,341,1.0710732899,0.90
366,E,30.9200000763,229532,1.0732090088,0.90
367,WSTG,35.2949981689,14666,1.0743907806,0.90
368,AROC,10.1599998474,106199,1.0607315820,0.89
369,FBIZ,33.8991012573,18431,1.0653499685,0.89
370,BECN,64.9300003052,51571,1.0640020623,0.89
371,SO,75.3700027466,691541,1.0679142715,0.89
372,IRM,54.0299987793,237757,1.0642216278,0.89
373,SRV,36.1301002502,1079,1.0688489366,0.89
374,NRZ,11.3350000381,622306,1.0639356216,0.89
375,ATSG,32.2799987793,51509,1.0681078440,0.89
376,SELF,6.5300002098,23157,1.0642293277,0.89
377,UNVR,31.7600002289,456910,1.0617820829,0.89
378,NI,31.5100002289,414830,1.0690467176,0.89
379,PKG,161.1600036621,82864,1.0618675743,0.89
380,TVTY,32.1549987793,238202,1.0652437088,0.89
381,PLYA,9.1899995804,281561,1.0688098762,0.89
382,UFCS,32.7400016785,9625,1.0688715365,0.89
383,FPL,6.6518998146,5377,1.0649915769,0.89
384,FIF,15.7465000153,13810,1.0630608618,0.89
385,CBZ,41.6450004578,16552,1.0684106830,0.89
386,TRP,59.3199996948,311673,1.0604125379,0.88
387,BCML,22.6749992371,6522,1.0555158519,0.88
388,FDUS,20.0699996948,41873,1.0561446100,0.88
389,SUN,43.4584007263,137628,1.0594171699,0.88
390,ORA,83.1224975586,29396,1.0564743377,0.88
391,SJIV,69.2500000000,151,1.0580980391,0.88
392,RIG,4.8699998856,21581663,1.0607141666,0.88
393,CB,211.0099945068,184250,1.0603528295,0.88
394,BRT,22.5790996552,3678,1.0594985777,0.88
395,AXS,58.1399993896,36120,1.0601298333,0.88
396,RS,195.9600067139,61720,1.0573786772,0.88
397,ARCO,7.6100001335,53878,1.0591583358,0.88
398,GCP,31.2700004578,143660,1.0578394434,0.88
399,SLP,51.6999015808,21001,1.0589889347,0.88
400,UVV,62.3899993896,18817,1.0603942257,0.88
401,CDK,54.5050010681,268108,1.0580739625,0.88
402,MRC,11.8599996567,70518,1.0573594844,0.88
403,CVBF,25.0499992371,124869,1.0564502809,0.88
404,LW,68.9000015259,83833,1.0515325205,0.87
405,DBI,15.5799999237,157288,1.0541237142,0.87
406,DNOW,11.8850002289,81781,1.0502291634,0.87
407,SR,78.4800033569,40980,1.0549409089,0.87
408,KBR,51.2400016785,281170,1.0518347997,0.87
409,LMT,450.3099975586,215659,1.0504092833,0.87
410,SAFT,93.1999969482,17230,1.0548498996,0.87
411,DRH,10.8299999237,200454,1.0522976384,0.87
412,ACHC,70.6399993896,15686,1.0543657503,0.87
413,UNTY,28.6499996185,13700,1.0523289334,0.87
414,MANT,95.0999984741,135704,1.0548339337,0.87
415,FPI,14.6700000763,68412,1.0518148335,0.87
416,BBW,19.4899997711,39870,1.0528252824,0.87
417,TREC,9.7200002670,84125,1.0540961307,0.87
418,OFG,28.2099990845,22954,1.0550630083,0.87
419,CCMP,179.9199981689,35279,1.0532188541,0.87
420,STRRP,9.7399997711,1101,1.0505303120,0.87
421,ATO,116.9100036621,67719,1.0482577937,0.86
422,OSBC,15.1599998474,21891,1.0479546538,0.86
423,PAA,11.8400001526,1807419,1.0464821684,0.86
424,MAT,24.3899993896,307844,1.0495161625,0.86
425,OGS,87.9599990845,55484,1.0492186073,0.86
426,PSN,41.3199996948,75710,1.0456776500,0.86
427,IOSP,104.6699981689,27227,1.0488917610,0.86
428,CTS,40.2240982056,8133,1.0494752060,0.86
429,GGB,6.0549998283,4218729,1.0467714886,0.86
430,KMI,19.9850006104,1817817,1.0500495744,0.86
431,FAAR,35.3250007629,3553,1.0479822926,0.86
432,BHR,6.4099998474,90948,1.0454306741,0.86
433,BCX,11.1695995331,25623,1.0471565426,0.86
434,FUNC,21.9300003052,1438,1.0445623189,0.85
435,FTRI,16.1599998474,69056,1.0419325699,0.85
436,MTB,178.6399993896,165032,1.0448164586,0.85
437,DOW,67.3099975586,782890,1.0434631273,0.85
438,CI,261.3900146484,438362,1.0440592448,0.85
439,AUY,5.5680999756,3868548,1.0440816000,0.85
440,PAGP,12.5249996185,695537,1.0431390513,0.85
441,BWFG,34.3699989319,3382,1.0438608367,0.85
442,KEX,73.4499969482,95538,1.0416728370,0.85
443,AIT,106.5400009155,12455,1.0379847869,0.84
444,SHLX,14.6499996185,257244,1.0401359398,0.84
