,symbol,close,relative_strength_sp500,rank
0,HYMC,1.2949999571,1.9593217255,1.00
1,AMR,177.4324951172,1.7678712588,1.00
2,PTE,2.5099999905,2.9886395374,1.00
3,ATIF,2.2300000191,2.0971464403,1.00
4,HUDI,23.7900009155,1.7682169520,1.00
5,PT,1.6705000401,1.9881500334,1.00
6,DWACU,47.7099990845,1.9400758431,1.00
7,ELC,23.7999992371,15.5146934600,1.00
8,BTCS,2.6041998863,2.7482166221,1.00
9,LEJU,4.0799999237,3.2140574761,1.00
10,ZIVO,3.1080000401,5.8751784412,1.00
11,SRGA,4.8649997711,6.3421894825,1.00
12,BHAT,1.5147000551,2.3573212867,1.00
13,SXTC,1.8899999857,3.8840384009,1.00
14,PECO,35.4389991760,1.6952672142,1.00
15,LWLG,7.9010000229,1.8920261481,1.00
16,TRVI,2.3399999142,1.8845029695,1.00
17,VTNR,14.5500001907,2.1464649178,1.00
18,EVOK,2.8499999046,2.3291129080,1.00
19,FENG,3.3506999016,2.2358930299,1.00
20,HPKEW,21.0000000000,1.8973219108,1.00
21,TNXP,2.2000000477,5.3024368978,1.00
22,SQFTP,23.7999992371,3.0629253507,1.00
23,TXMD,2.1749999523,4.0300757451,1.00
24,CMPI,10.5000000000,1.7627473409,1.00
25,IVT,30.6900005341,4.2105917599,1.00
26,HYMCL,0.3001999855,2.1730581994,1.00
27,SANG,8.0799999237,1.9795890306,1.00
28,RMTI,1.4104000330,2.1311002192,1.00
29,BPT,19.1900005341,1.7688738657,1.00
30,METX,1.4400000572,3.2684923689,1.00
31,CTIC,5.4349999428,1.7743675719,1.00
32,MICS,2.8949999809,7.0126026098,1.00
33,MKD,0.9150000215,2.5589529397,1.00
34,HDSN,9.6800003052,1.7440493870,1.00
35,RDBX,7.2399001122,1.9522645239,1.00
36,RCMT,23.7798995972,2.1139797705,1.00
37,PXS,2.7400000095,2.5062653009,1.00
38,TH,6.1999998093,1.4024823486,0.99
39,LIDRW,1.3500000238,1.5598943118,0.99
40,LNTH,70.1600036621,1.4102427756,0.99
41,KOS,7.9200000763,1.3735772568,0.99
42,ISPO,6.0209999084,1.4498867174,0.99
43,LVLU,18.2099990845,1.3801841625,0.99
44,LXU,19.1200008392,1.3676572593,0.99
45,HPK,32.3199996948,1.4669205942,0.99
46,IVDA,1.5000000000,1.5068610850,0.99
47,HIVE,3.9049999714,1.3840490146,0.99
48,GRIN,26.1299991608,1.3748333623,0.99
49,MTR,17.5006008148,1.5949640887,0.99
50,AEHR,8.4499998093,1.5511977090,0.99
51,NC,58.8300018311,1.4309203483,0.99
52,GDYN,18.4400005341,1.3299851048,0.99
53,IONM,2.2599999905,1.3927360672,0.99
54,NEX,11.0399999619,1.3215285912,0.99
55,NEXT,7.7350001335,1.6602630286,0.99
56,NINE,3.2611000538,1.6563190924,0.99
57,NRP,49.0200004578,1.3375549666,0.99
58,NURO,4.0300998688,1.4325824382,0.99
59,NVCT,15.7100000381,1.6093920307,0.99
60,OXY,70.4649963379,1.3635633356,0.99
61,FCUV,14.6999998093,1.3428661555,0.99
62,PBF,32.4399986267,1.4535032550,0.99
63,PBT,17.5000000000,1.4362549722,0.99
64,IMTE,8.9099998474,1.3251915750,0.99
65,EQT,48.5299987793,1.4791242744,0.99
66,DWAC,44.2500000000,1.6097101972,0.99
67,PPIH,14.3501996994,1.3260761436,0.99
68,DOGZ,3.8499999046,1.4340879820,0.99
69,VHI,52.6715011597,1.4738303065,0.99
