,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
117,VAL,55.5299987793,56.0400009155,58.1899986267,54.5099983215,1128500,1.2516409756,1.2522745313,0.98
118,VOC,8.6400003433,8.3000001907,8.6400003433,8.1999998093,178000,1.2629789128,1.2636182075,0.98
119,WFRD,35.2299995422,34.2299995422,35.2299995422,33.3199996948,473000,1.2649314514,1.2245932153,0.98
120,WLL,97.5999984741,99.2500000000,100.6100006104,96.5299987793,288800,1.2239938384,1.2246133997,0.98
121,PCOM,24.4599990845,24.5900001526,24.7900009155,24.4400005341,232600,1.2397396267,1.2002047493,0.97
122,COMT,45.7200012207,45.6399993896,45.7910003662,45.1199989319,625900,1.2100602716,1.1714718589,0.97
123,INSW,22.9599990845,23.9799995422,24.0499992371,22.7199993134,410700,1.1724423451,1.1730358120,0.97
124,NL,9.1000003815,9.0100002289,9.1000003815,8.8299999237,24100,1.1612879487,1.1618757695,0.97
125,XOM,101.9400024414,100.4599990845,103.3499984741,99.7900009155,30950500,1.1968339994,1.1974398129,0.97
126,WEYS,28.3299999237,30.1100006104,30.3600006104,28.3299999237,47800,1.2034974135,1.1651182880,0.97
127,FTXN,30.4899997711,30.2099990845,30.8600006104,29.7900009155,193300,1.2192055939,1.1803255399,0.97
128,DLNG,3.7999999523,3.8099999428,3.9990000725,3.7200000286,96200,1.1611755055,1.1617632693,0.97
129,KRP,19.2800006866,19.3700008392,19.5699996948,18.8299999237,253700,1.1863300149,1.1869305115,0.97
130,FGBI,26.6599998474,26.5200004578,26.7099990845,26.2099990845,35000,1.2141811361,1.1754613104,0.97
131,ENLC,11.0299997330,10.7500000000,11.1499996185,10.5799999237,2422900,1.1991523241,1.1997593111,0.97
132,EPSN,7.0000000000,6.9899997711,7.0300002098,6.9499998093,216200,1.2222102017,1.1832343318,0.97
133,JMSB,27.3299999237,27.9300003052,28.2250003815,27.3299999237,73500,1.2199335685,1.1810302996,0.97
134,AVD,23.7099990845,23.1399993896,23.7600002289,22.4599990845,782822,1.1619476123,1.1625357670,0.97
135,TECK,42.8199996948,42.2799987793,43.2500000000,41.6399993896,5019600,1.1727879650,1.1733816068,0.97
136,AZPN,194.1499938965,196.0000000000,197.1300048828,192.0899963379,112500,1.2410232254,1.2014474145,0.97
137,HES,125.5599975586,127.7200012207,129.3699951172,124.1500015259,3044800,1.1895624477,1.1901645805,0.97
138,SWX,90.1500015259,91.8899993896,92.5100021362,90.0000000000,216000,1.1668205276,1.1674111489,0.97
139,SWCH,33.5499992371,33.5400009155,33.6399993896,33.5299987793,3096700,1.1896826765,1.1902848701,0.97
140,CYTK,39.1199989319,39.5000000000,40.3199996948,37.9000015259,689500,1.2135075755,1.1748092294,0.97
141,STON,3.4300000668,3.4400000572,3.4800000191,3.4300000668,299300,1.1878046968,1.1884059399,0.97
142,MNRL,32.0699996948,32.1599998474,32.8199996948,31.4699993134,842200,1.1996131922,1.2002204124,0.97
143,MNTK,13.5900001526,13.6300001144,13.8500003815,13.3500003815,301000,1.1995038044,1.1612520338,0.97
144,SOI,13.1599998474,13.8000001907,13.8500003815,12.8800001144,464800,1.1937046028,1.1943088322,0.97
145,BIS,30.8799991608,31.4099998474,31.7900009155,30.8799991608,70500,1.2195405043,1.1806497701,0.97
146,SIMO,91.5500030518,91.0400009155,92.1399993896,90.8600006104,229300,1.2146215333,1.1758876634,0.97
147,CVX,176.3699951172,175.3999938965,178.5700073242,173.6499938965,9529700,1.1670605472,1.1676512900,0.97
148,UFPT,75.0699996948,81.3399963379,81.7699966431,75.0000000000,41200,1.2158607320,1.1770873446,0.97
149,VNOM,34.1800003052,34.3100013733,34.9249992371,33.4199981689,319600,1.2438088462,1.2041442028,0.97
150,PXI,50.3199996948,50.1699981689,51.1699981689,49.1599998474,101600,1.2377517976,1.1982803114,0.97
151,PXD,274.8599853516,270.8699951172,278.3999938965,266.7999877930,2872000,1.1981505283,1.1981505283,0.97
152,PSCE,11.7600002289,11.6499996185,11.9300003052,11.3800001144,881800,1.2009713096,1.1626727407,0.97
153,HAL,40.9500007629,40.4900016785,41.4099998474,39.7400016785,9898100,1.1880421029,1.1886434661,0.97
154,NBR,176.4199981689,173.9499969482,182.4700012207,165.3500061035,210700,1.1868431664,1.1874439227,0.97
155,CVEO,30.5000000000,29.2600002289,30.5000000000,29.1900005341,48200,1.1977631403,1.1983694241,0.97
156,NDP,33.7299995422,33.6800003052,33.9000015259,32.8400001526,15400,1.1869643800,1.1875651976,0.97
157,CNQ,65.7600021362,64.8499984741,66.0800018311,64.0699996948,2570600,1.1890873169,1.1896892092,0.97
158,PDBC,20.5599994659,20.4799995422,20.5900001526,20.2900009155,7015200,1.2122659078,1.1736071580,0.97
159,PAG,118.8300018311,115.5199966431,121.1100006104,114.3899993896,379600,1.1477709913,1.1483519700,0.96
160,KRO,19.1499996185,18.7500000000,19.1499996185,18.5000000000,222900,1.1376372372,1.1382130864,0.96
161,LPG,16.4699993134,16.8600006104,17.0000000000,16.3199996948,631600,1.1401538829,1.1407310060,0.96
162,MAYS,40.5999984741,41.5000000000,41.5000000000,40.5999984741,700,1.1756503254,1.1381592341,0.96
163,USOI,5.8449997902,5.8499999046,5.8499999046,5.7899999619,2292600,1.1935018645,1.1554414937,0.96
164,NSEC,16.3199996948,16.3199996948,16.3199996948,16.3199996948,100,1.1962175334,1.1580705608,0.96
165,NTUS,32.7000007629,32.7099990845,32.9000015259,32.6199989319,190800,1.1809738340,1.1433129779,0.96
166,OLN,62.6399993896,61.0099983215,62.6399993896,60.8499984741,2008400,1.1471559111,1.1477365785,0.96
167,PEO,23.9300003052,23.5900001526,24.0400009155,23.2900009155,109400,1.1537871972,1.1543712213,0.96
168,PRT,10.1499996185,10.1199998856,10.4099998474,10.0299997330,51400,1.1477800555,1.1483610388,0.96
169,PSX,106.9100036621,106.3099975586,107.7699966431,104.8399963379,3015000,1.1549182880,1.1549182880,0.96
170,CDEV,9.2600002289,9.2500000000,9.5399999619,9.0749998093,7845100,1.1861426103,1.1483169236,0.96
171,BKEP,4.5599999428,4.5599999428,4.5599999428,4.5500001907,55100,1.1786832742,1.1410954633,0.96
172,SHEL,57.9399986267,57.9799995422,58.2400016785,57.4700012207,6220172,1.1394309877,1.1400563739,0.96
173,BGR,13.4899997711,13.3199996948,13.4899997711,13.1000003815,182188,1.1461695723,1.1467497405,0.96
174,SSL,26.2000007629,25.8799991608,26.2600002289,25.6800003052,247100,1.1503883384,1.1509706421,0.96
175,VST,25.7700004578,25.4400005341,25.8799991608,25.4300003052,3853500,1.1414868412,1.1420646391,0.96
176,SWIR,22.6499996185,22.9500007629,23.1299991608,22.1900005341,425200,1.1850136584,1.1472239736,0.96
177,BANF,91.4100036621,90.5599975586,93.6500015259,89.9499969482,159100,1.1772283463,1.1396869325,0.96
178,ACC,64.7200012207,64.7699966431,64.9150009155,64.6600036621,1378755,1.1394799419,1.1400567239,0.96
