,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
235,TVTY,32.1800003052,32.2799987793,32.2999992371,32.1599998474,428800,1.1334478701,1.0973026009,0.93
236,CEM,36.3100013733,35.5299987793,36.3800010681,35.3100013733,62700,1.0983639545,1.0989199244,0.93
237,ET,11.9399995804,11.6400003433,11.9399995804,11.5500001907,19789200,1.0913315263,1.0918839365,0.93
238,BCC,78.8499984741,77.1999969482,80.4760971069,76.2399978638,473622,1.0964277287,1.0969827185,0.93
239,GCP,31.1599998474,31.2999992371,31.3099994659,31.0300006866,651800,1.0986658765,1.0992219992,0.93
240,CNR,24.4200000763,24.4500007629,24.4599990845,24.3799991608,991700,1.0961630022,1.0967178580,0.93
241,HT,11.6400003433,11.6999998093,11.9300003052,11.5399999619,502800,1.0991134554,1.0996698047,0.93
242,NVEE,122.3300018311,122.2300033569,123.0699996948,120.0899963379,58600,1.1266979103,1.0907678950,0.93
243,HESM,33.3699989319,33.0200004578,33.8349990845,32.7099990845,709200,1.0962737394,1.0968286513,0.93
244,FPL,6.6399998665,6.5500001907,6.6399998665,6.4400000572,139300,1.0906464989,1.0911985624,0.93
245,FTGC,29.8899993896,29.8799991608,29.9699993134,29.7399997711,1135600,1.1269534933,1.0910153276,0.93
246,GPRK,17.1200008392,16.7900009155,17.1599998474,16.1399993896,217800,1.0875086968,1.0880591720,0.92
247,GER,13.2399997711,13.0699996948,13.2600002289,12.9010000229,63100,1.0872889678,1.0878393318,0.92
248,CDK,54.6300010681,54.5400009155,54.6650009155,54.5149993896,1407600,1.1176492947,1.0820078367,0.92
249,BTI,43.0200004578,43.3699989319,43.5400009155,42.6699981689,2535100,1.0839187339,1.0844673919,0.92
250,UFCS,31.7299995422,31.3700008392,31.8099994659,31.1599998474,66400,1.1243926592,1.0885361576,0.92
251,TYG,34.6199989319,34.1800003052,34.6199989319,33.7000007629,56200,1.0888784941,1.0894296627,0.92
252,WTTR,8.7399997711,8.5000000000,8.7399997711,8.1800003052,480700,1.0872111362,1.0877614608,0.92
253,EPD,28.1499996185,27.6200008392,28.1499996185,27.3400001526,5404000,1.0893447292,1.0898961337,0.92
254,NOV,20.1800003052,20.0000000000,20.4300003052,19.7000007629,4072400,1.0846983850,1.0852474377,0.92
255,NWPX,33.5299987793,33.8100013733,33.9799995422,32.8199996948,40700,1.1247761729,1.0889074412,0.92
256,GEL,12.5500001907,12.3100004196,12.6899995804,12.1499996185,241000,1.0848967447,1.0854458978,0.92
257,SR,75.4700012207,76.9599990845,77.5400009155,75.3000030518,296400,1.0796271954,1.0801736811,0.91
258,GLP,27.9899997711,27.4400005341,28.0599994659,27.1399993896,91000,1.0796283189,1.0801748052,0.91
259,NR,4.3600001335,4.2699999809,4.3899998665,4.1799998283,393100,1.0742338715,1.0747776272,0.91
260,ORA,82.2900009155,80.2500000000,82.5000000000,80.2200012207,307100,1.0727939856,1.0733370125,0.91
261,MANT,94.7200012207,94.5800018311,95.0000000000,94.5199966431,457500,1.1139888969,1.0784641678,0.91
262,KYN,9.5600004196,9.3900003433,9.5600004196,9.2500000000,493300,1.0788931288,1.0794392430,0.91
263,MPLX,34.0099983215,33.6300010681,34.0099983215,33.0099983215,1750000,1.0745261655,1.0750700692,0.91
